epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,182.962,1.22571,0.57203,1.11216,0.99667,1,0.995,0.72485,1.07621,0.51474,1.05485,0.00249705,0.00249705,0.00249705
83,185.203,1.16015,0.55791,1.0759,0.99768,1,0.995,0.73274,1.08823,0.50153,1.05467,0.00248533,0.00248533,0.00248533
84,187.477,1.17272,0.5333,1.06021,0.96541,0.93045,0.98472,0.68494,1.24163,0.66742,1.10881,0.0024735,0.0024735,0.0024735
85,189.951,1.17241,0.58621,1.0691,1,0.92991,0.98011,0.64904,1.22641,0.62898,1.10128,0.00246157,0.00246157,0.00246157
86,193.026,1.22623,0.59324,1.12103,0.96419,0.89761,0.90794,0.6216,1.16717,0.65391,1.07959,0.00244954,0.00244954,0.00244954
87,195.659,1.12924,0.58356,1.09869,0.96434,1,0.98855,0.72106,1.01877,0.49983,1.00899,0.0024374,0.0024374,0.0024374
88,197.769,1.11212,0.52331,1.06451,0.99755,1,0.995,0.75917,1.03389,0.46368,1.00154,0.00242517,0.00242517,0.00242517
89,199.908,1.13668,0.54781,1.09876,0.9977,1,0.995,0.75797,1.02228,0.46457,1.01252,0.00241283,0.00241283,0.00241283
90,202.002,1.16963,0.5867,1.09593,0.99726,1,0.995,0.7145,1.08719,0.50087,1.03668,0.00240039,0.00240039,0.00240039
91,204.096,1.15484,0.56893,1.0955,0.99651,1,0.995,0.70731,1.14995,0.52633,1.05586,0.00238786,0.00238786,0.00238786
92,206.202,1.17209,0.54841,1.11187,0.97702,1,0.995,0.72033,1.11616,0.49681,1.04963,0.00237523,0.00237523,0.00237523
93,208.298,1.16037,0.53876,1.09508,0.9655,1,0.99403,0.70203,1.17014,0.4968,1.07287,0.00236251,0.00236251,0.00236251
94,210.438,1.08738,0.53695,1.06138,0.96555,1,0.98984,0.69852,1.19784,0.50123,1.07626,0.00234969,0.00234969,0.00234969
95,212.572,1.14325,0.51455,1.06246,0.99433,1,0.995,0.69396,1.19783,0.53002,1.07549,0.00233679,0.00233679,0.00233679
